"PA21: KESKMINE BRUTO- JA NETOKUUPALK | Aasta, Kvartal, Maakond ning Näitaja"

"Aasta","Kvartal","Maakond","Keskmine brutokuupalk, eurot","Keskmise brutokuupalga juurdekasvutempo võrreldes eelmise perioodiga, %"
"2007","I kvartal","..Tallinn",778,2.7
"2007","I kvartal","Tartu maakond",637,-2.5
"2007","II kvartal","..Tallinn",840,8.0
"2007","II kvartal","Tartu maakond",739,16.1
"2007","III kvartal","..Tallinn",799,-4.9
"2007","III kvartal","Tartu maakond",685,-7.4
"2007","IV kvartal","..Tallinn",895,12.0
"2007","IV kvartal","Tartu maakond",781,14.0
"2008","I kvartal","..Tallinn",911,1.9
"2008","I kvartal","Tartu maakond",759,-2.8
"2008","II kvartal","..Tallinn",959,5.3
"2008","II kvartal","Tartu maakond",850,12.0
"2008","III kvartal","..Tallinn",900,-6.1
"2008","III kvartal","Tartu maakond",778,-8.5
"2008","IV kvartal","..Tallinn",946,5.1
"2008","IV kvartal","Tartu maakond",837,7.5
"2009","I kvartal","..Tallinn",897,-5.2
"2009","I kvartal","Tartu maakond",732,-12.6
"2009","II kvartal","..Tallinn",929,3.6
"2009","II kvartal","Tartu maakond",782,6.8
"2009","III kvartal","..Tallinn",866,-6.8
"2009","III kvartal","Tartu maakond",712,-8.9
"2009","IV kvartal","..Tallinn",894,3.2
"2009","IV kvartal","Tartu maakond",757,6.4
"2010","I kvartal","..Tallinn",866,-3.1
"2010","I kvartal","Tartu maakond",725,-4.2
"2010","II kvartal","..Tallinn",931,7.5
"2010","II kvartal","Tartu maakond",808,11.4
"2010","III kvartal","..Tallinn",870,-6.5
"2010","III kvartal","Tartu maakond",728,-10.0
"2010","IV kvartal","..Tallinn",920,5.8
"2010","IV kvartal","Tartu maakond",812,11.6
"2011","I kvartal","..Tallinn",916,-0.5
"2011","I kvartal","Tartu maakond",751,-7.6
"2011","II kvartal","..Tallinn",977,6.7
"2011","II kvartal","Tartu maakond",840,12.0
"2011","III kvartal","..Tallinn",932,-4.7
"2011","III kvartal","Tartu maakond",763,-9.2
"2011","IV kvartal","..Tallinn",994,8.0
"2011","IV kvartal","Tartu maakond",845,4.1
"2012","I kvartal","..Tallinn",980,-1.4
"2012","I kvartal","Tartu maakond",785,-7.2
"2012","II kvartal","..Tallinn",1026,4.6
"2012","II kvartal","Tartu maakond",867,10.5
"2012","III kvartal","..Tallinn",987,-3.8
"2012","III kvartal","Tartu maakond",795,-8.4
"2012","IV kvartal","..Tallinn",1047,6.1
"2012","IV kvartal","Tartu maakond",884,11.2
"2013","I kvartal","..Tallinn",1045,-0.2
"2013","I kvartal","Tartu maakond",853,-3.5
"2013","II kvartal","..Tallinn",1116,6.8
"2013","II kvartal","Tartu maakond",957,12.2
"2013","III kvartal","..Tallinn",1078,-3.4
"2013","III kvartal","Tartu maakond",868,-9.3
"2013","IV kvartal","..Tallinn",1129,4.7
"2013","IV kvartal","Tartu maakond",957,10.3
"2014","I kvartal","..Tallinn",1118,-1.0
"2014","I kvartal","Tartu maakond",920,-3.8
"2014","II kvartal","..Tallinn",1170,4.6
"2014","II kvartal","Tartu maakond",1010,9.7
"2014","III kvartal","..Tallinn",1120,-4.2
"2014","III kvartal","Tartu maakond",923,-8.6
"2014","IV kvartal","..Tallinn",1183,5.6
"2014","IV kvartal","Tartu maakond",1017,10.2
"2015","I kvartal","..Tallinn",1149,-2.9
"2015","I kvartal","Tartu maakond",989,-2.7
"2015","II kvartal","..Tallinn",1220,6.2
"2015","II kvartal","Tartu maakond",1076,8.8
"2015","III kvartal","..Tallinn",1190,-2.4
"2015","III kvartal","Tartu maakond",1008,-6.3
"2015","IV kvartal","..Tallinn",1248,4.9
"2015","IV kvartal","Tartu maakond",1086,7.7
"2016","I kvartal","..Tallinn",1244,-0.4
"2016","I kvartal","Tartu maakond",1065,-1.9
"2016","II kvartal","..Tallinn",1308,5.2
"2016","II kvartal","Tartu maakond",1191,11.8
"2016","III kvartal","..Tallinn",1280,-2.2
"2016","III kvartal","Tartu maakond",1105,-7.2
"2016","IV kvartal","..Tallinn",1327,3.7
"2016","IV kvartal","Tartu maakond",1217,10.2
"2017","I kvartal","..Tallinn",1311,-1.2
"2017","I kvartal","Tartu maakond",1140,-6.4
"2017","II kvartal","..Tallinn",1401,6.9
"2017","II kvartal","Tartu maakond",1227,7.7
"2017","III kvartal","..Tallinn",1366,-2.5
"2017","III kvartal","Tartu maakond",1199,-2.3
"2017","IV kvartal","..Tallinn",1436,5.2
"2017","IV kvartal","Tartu maakond",1276,6.4
"2018","I kvartal","..Tallinn",1406,-2.1
"2018","I kvartal","Tartu maakond",1210,-5.1
"2018","II kvartal","..Tallinn",1492,6.1
"2018","II kvartal","Tartu maakond",1304,7.8
"2018","III kvartal","..Tallinn",1453,-2.6
"2018","III kvartal","Tartu maakond",1283,-1.6
"2018","IV kvartal","..Tallinn",1562,7.5
"2018","IV kvartal","Tartu maakond",1377,7.3
